Air flow(TPH),Airflow 2(TPH),water flow,stoker speed,Temperature (oc),pressure(ps),Drum level(%)
74.61,49.5918,101.02,577.041,501.818,64.5455,55.2272
73.07,48.9796,101.02,577.041,501.818,64.3802,54.8958
72.307,48.0612,101.02,577.041,502.645,64.5455,55.2255
72.69,47.1429,97.9592,578.0124,502.645,64.876,51.9189
73.07,46.2245,96.4286,578.571,503.471,65.0413,47.9511
73.84,45.9184,94.898,580.102,502.645,65.2066,45.4709
72.307,45.9184,94.898,580.102,503.471,65.2066,43.8172
70.38,46.2245,96.4286,578.571,504.298,65.3719,43.657
68.84,45.9184,101.02,577.041,502.645,65.5372,43.1552
69.61,44.6939,105.612,575.51,501.818,65.7025,42.8237
70,43.4694,108.673,573.98,501.818,65.8678,44.3105
69.61,42.551,111.735,572.449,501.818,66.0331,45.7972
70.38,42.8571,113.265,571.918,501.818,66.1983,46.4575
71.16,42.8571,113.265,570.918,500.992,66.0331,46.9526
70.769,43.1633,114.796,570.118,500.992,65.8678,47.9434
70,43.7755,116.327,569.388,500.992,65.5372,49.0996
68.07,44.3878,120.918,569.388,501.818,65.0413,50.2558
65.38,44.0816,120.918,567.857,501.818,65.2066,51.2467
64.23,42.551,122.449,566.327,500.992,65.3719,52.2376
65.76,40.4082,122.449,566.017,500.992,65.7025,52.8979
66.15,40.4082,122.449,566.327,500.992,66.1983,51.74
65,40.7143,122.449,567.857,500.992,65.7025,50.7474
64.23,41.0204,122.449,567.857,500.992,65.3719,50.2507
65.4,41.6327,120.918,569.388,500.992,65.7025,49.9193
66.15,42.2449,119.388,572.449,500.992,65.8678,49.7531
67.69,42.8571,117.857,575.51,501.818,65.5372,49.9176
68.84,43.4694,116.327,577.041,501.818,65.0413,50.123
